condition,time_s,time_us,R_m,R_um,Rdot_ms,epsilon,rho_m,P_sat_Pa,P_sat_kPa,film_um
T=255K,7.701000000000e-07,7.701000e-01,1.718772494653e-05,17.187725,11.376804,0.039819200,585.392606,2.076842e+05,207.684,32.812275
T=255K,7.801000000000e-07,7.801000e-01,1.730074398357e-05,17.300744,11.301904,0.040620491,584.905475,2.076842e+05,207.684,32.699256
T=255K,7.901000000000e-07,7.901000e-01,1.741302773654e-05,17.413028,11.228375,0.041427080,584.415123,2.076842e+05,207.684,32.586972
T=255K,8.001000000000e-07,8.001000e-01,1.752458954172e-05,17.524590,11.156181,0.042238926,583.921576,2.076842e+05,207.684,32.475410
T=255K,8.101000000000e-07,8.101000e-01,1.763544237116e-05,17.635442,11.085283,0.043055987,583.424857,2.076842e+05,207.684,32.364558
T=255K,8.201000000000e-07,8.201000e-01,1.774559884554e-05,17.745599,11.015647,0.043878226,582.924992,2.076842e+05,207.684,32.254401
T=255K,8.301000000000e-07,8.301000e-01,1.785507124651e-05,17.855071,10.947240,0.044705604,582.422002,2.076842e+05,207.684,32.144929
T=255K,8.401000000000e-07,8.401000e-01,1.796387152848e-05,17.963872,10.880028,0.045538084,581.915910,2.076842e+05,207.684,32.036128
T=255K,8.501000000000e-07,8.501000e-01,1.807201133001e-05,18.072011,10.813980,0.046375629,581.406739,2.076842e+05,207.684,31.927989
T=255K,8.601000000000e-07,8.601000e-01,1.817950198469e-05,18.179502,10.749065,0.047218203,580.894510,2.076842e+05,207.684,31.820498
T=255K,8.701000000000e-07,8.701000e-01,1.828635453156e-05,18.286355,10.685255,0.048065773,580.379245,2.076842e+05,207.684,31.713645
T=255K,8.801000000000e-07,8.801000e-01,1.839257972517e-05,18.392580,10.622519,0.048918304,579.860963,2.076842e+05,207.684,31.607420
T=255K,8.901000000000e-07,8.901000e-01,1.849818804517e-05,18.498188,10.560832,0.049775763,579.339686,2.076842e+05,207.684,31.501812
T=255K,9.001000000000e-07,9.001000e-01,1.860318970559e-05,18.603190,10.500166,0.050638118,578.815432,2.076842e+05,207.684,31.396810
T=255K,9.101000000000e-07,9.101000e-01,1.870759466364e-05,18.707595,10.440496,0.051505337,578.288222,2.076842e+05,207.684,31.292405
T=255K,9.201000000000e-07,9.201000e-01,1.881141262831e-05,18.811413,10.381796,0.052377389,577.758073,2.076842e+05,207.684,31.188587
T=255K,9.301000000000e-07,9.301000e-01,1.891465306844e-05,18.914653,10.324044,0.053254243,577.225004,2.076842e+05,207.684,31.085347
T=255K,9.401000000000e-07,9.401000e-01,1.901732522069e-05,19.017325,10.267215,0.054135871,576.689034,2.076842e+05,207.684,30.982675
