T0_K,time_us,R_um,Rdot_m_s,T_drop_K,film_thick_um,log10_time_us,Pb_bar,P_sat_bar
273.0,1.490000e+01,2.847239e+01,1.034331e+00,273.000000,5.402761e+01,1.173186,2.026593,4.294002
273.0,1.500000e+01,2.857578e+01,1.033478e+00,273.000000,5.392422e+01,1.176091,2.027488,4.294002
273.0,1.510000e+01,2.867910e+01,1.033141e+00,273.000000,5.382090e+01,1.178977,2.028442,4.294002
273.0,1.520000e+01,2.878242e+01,1.033339e+00,273.000000,5.371758e+01,1.181844,2.029449,4.294002
273.0,1.530000e+01,2.888579e+01,1.034085e+00,273.000000,5.361421e+01,1.184691,2.030500,4.294002
273.0,1.540000e+01,2.898926e+01,1.035392e+00,273.000000,5.351074e+01,1.187521,2.031588,4.294002
273.0,1.550000e+01,2.909288e+01,1.037264e+00,273.000000,5.340712e+01,1.190332,2.032705,4.294002
273.0,1.560000e+01,2.919673e+01,1.039705e+00,273.000000,5.330327e+01,1.193125,2.033844,4.294002
273.0,1.570000e+01,2.930084e+01,1.042714e+00,273.000000,5.319916e+01,1.195900,2.034999,4.294002
273.0,1.580000e+01,2.940528e+01,1.046285e+00,273.000000,5.309472e+01,1.198657,2.036162,4.294002
273.0,1.590000e+01,2.951011e+01,1.050413e+00,273.000000,5.298989e+01,1.201397,2.037329,4.294002
273.0,1.600000e+01,2.961538e+01,1.055087e+00,273.000000,5.288462e+01,1.204120,2.038492,4.294002
273.0,1.610000e+01,2.972114e+01,1.060294e+00,273.000000,5.277886e+01,1.206826,2.039647,4.294002
273.0,1.620000e+01,2.982745e+01,1.066018e+00,273.000000,5.267255e+01,1.209515,2.040788,4.294002
273.0,1.630000e+01,2.993436e+01,1.072242e+00,273.000000,5.256564e+01,1.212188,2.041911,4.294002
273.0,1.640000e+01,3.004191e+01,1.078948e+00,273.000000,5.245809e+01,1.214844,2.043012,4.294002
273.0,1.650000e+01,3.015016e+01,1.086113e+00,273.000000,5.234984e+01,1.217484,2.044087,4.294002
273.0,1.660000e+01,3.025914e+01,1.093715e+00,273.000000,5.224086e+01,1.220108,2.045132,4.294002
273.0,1.670000e+01,3.036890e+01,1.101732e+00,273.000000,5.213110e+01,1.222716,2.046145,4.294002
273.0,1.680000e+01,3.047949e+01,1.110138e+00,273.000000,5.202051e+01,1.225309,2.047122,4.294002
273.0,1.690000e+01,3.059094e+01,1.118908e+00,273.000000,5.190906e+01,1.227887,2.048062,4.294002
273.0,1.700000e+01,3.070327e+01,1.128016e+00,273.000000,5.179673e+01,1.230449,2.048963,4.294002
273.0,1.710000e+01,3.081654e+01,1.137437e+00,273.000000,5.168346e+01,1.232996,2.049824,4.294002
273.0,1.720000e+01,3.093076e+01,1.147144e+00,273.000000,5.156924e+01,1.235528,2.050643,4.294002
273.0,1.730000e+01,3.104597e+01,1.157111e+00,273.000000,5.145403e+01,1.238046,2.051420,4.294002
273.0,1.740000e+01,3.116218e+01,1.167313e+00,273.000000,5.133782e+01,1.240549,2.052155,4.294002
273.0,1.750000e+01,3.127943e+01,1.177724e+00,273.000000,5.122057e+01,1.243038,2.052848,4.294002
273.0,1.760000e+01,3.139772e+01,1.188319e+00,273.000000,5.110228e+01,1.245513,2.053500,4.294002
273.0,1.770000e+01,3.151709e+01,1.199074e+00,273.000000,5.098291e+01,1.247973,2.054111,4.294002
273.0,1.780000e+01,3.163753e+01,1.209967e+00,273.000000,5.086247e+01,1.250420,2.054681,4.294002
273.0,1.790000e+01,3.175907e+01,1.220976e+00,273.000000,5.074093e+01,1.252853,2.055214,4.294002
273.0,1.800000e+01,3.188172e+01,1.232079e+00,273.000000,5.061828e+01,1.255273,2.055709,4.294002
273.0,1.810000e+01,3.200548e+01,1.243256e+00,273.000000,5.049452e+01,1.257679,2.056170,4.294002
273.0,1.820000e+01,3.213036e+01,1.254490e+00,273.000000,5.036964e+01,1.260071,2.056597,4.294002
273.0,1.830000e+01,3.225637e+01,1.265763e+00,273.000000,5.024363e+01,1.262451,2.056993,4.294002
273.0,1.840000e+01,3.238350e+01,1.277059e+00,273.000000,5.011650e+01,1.264818,2.057361,4.294002
273.0,1.850000e+01,3.251177e+01,1.288364e+00,273.000000,4.998823e+01,1.267172,2.057702,4.294002
273.0,1.860000e+01,3.264116e+01,1.299666e+00,273.000000,4.985884e+01,1.269513,2.058019,4.294002
273.0,1.870000e+01,3.277169e+01,1.310952e+00,273.000000,4.972831e+01,1.271842,2.058315,4.294002
273.0,1.880000e+01,3.290334e+01,1.322212e+00,273.000000,4.959666e+01,1.274158,2.058592,4.294002
273.0,1.890000e+01,3.303612e+01,1.333438e+00,273.000000,4.946388e+01,1.276462,2.058854,4.294002
273.0,1.900000e+01,3.317002e+01,1.344623e+00,273.000000,4.932998e+01,1.278754,2.059102,4.294002
273.0,1.910000e+01,3.330503e+01,1.355761e+00,273.000000,4.919497e+01,1.281033,2.059340,4.294002
273.0,1.920000e+01,3.344116e+01,1.366848e+00,273.000000,4.905884e+01,1.283301,2.059571,4.294002
273.0,1.930000e+01,3.357839e+01,1.377879e+00,273.000000,4.892161e+01,1.285557,2.059796,4.294002
273.0,1.940000e+01,3.371672e+01,1.388854e+00,273.000000,4.878328e+01,1.287802,2.060018,4.294002
273.0,1.950000e+01,3.385615e+01,1.399771e+00,273.000000,4.864385e+01,1.290035,2.060241,4.294002
273.0,1.960000e+01,3.399666e+01,1.410631e+00,273.000000,4.850334e+01,1.292256,2.060467,4.294002
273.0,1.970000e+01,3.413826e+01,1.421436e+00,273.000000,4.836174e+01,1.294466,2.060697,4.294002
273.0,1.980000e+01,3.428094e+01,1.432187e+00,273.000000,4.821906e+01,1.296665,2.060935,4.294002
273.0,1.990000e+01,3.442468e+01,1.442887e+00,273.000000,4.807532e+01,1.298853,2.061182,4.294002
273.0,2.000000e+01,3.456950e+01,1.453542e+00,273.000000,4.793050e+01,1.301030,2.061441,4.294002
273.0,2.010000e+01,3.471538e+01,1.464156e+00,273.000000,4.778462e+01,1.303196,2.061713,4.294002
273.0,2.020000e+01,3.486232e+01,1.474735e+00,273.000000,4.763768e+01,1.305351,2.062001,4.294002
273.0,2.030000e+01,3.501032e+01,1.485285e+00,273.000000,4.748968e+01,1.307496,2.062306,4.294002
273.0,2.040000e+01,3.515937e+01,1.495812e+00,273.000000,4.734063e+01,1.309630,2.062630,4.294002
273.0,2.050000e+01,3.530947e+01,1.506325e+00,273.000000,4.719053e+01,1.311754,2.062975,4.294002
273.0,2.060000e+01,3.546062e+01,1.516831e+00,273.000000,4.703938e+01,1.313867,2.063342,4.294002
273.0,2.070000e+01,3.561282e+01,1.527337e+00,273.000000,4.688718e+01,1.315970,2.063731,4.294002
273.0,2.080000e+01,3.576608e+01,1.537853e+00,273.000000,4.673392e+01,1.318063,2.064146,4.294002
273.0,2.090000e+01,3.592038e+01,1.548388e+00,273.000000,4.657962e+01,1.320146,2.064586,4.294002
273.0,2.100000e+01,3.607575e+01,1.558949e+00,273.000000,4.642425e+01,1.322219,2.065052,4.294002
273.0,2.110000e+01,3.623216e+01,1.569546e+00,273.000000,4.626784e+01,1.324282,2.065546,4.294002
273.0,2.120000e+01,3.638965e+01,1.580189e+00,273.000000,4.611035e+01,1.326336,2.066067,4.294002
273.0,2.130000e+01,3.654819e+01,1.590886e+00,273.000000,4.595181e+01,1.328380,2.066618,4.294002
273.0,2.140000e+01,3.670781e+01,1.601646e+00,273.000000,4.579219e+01,1.330414,2.067198,4.294002
273.0,2.150000e+01,3.686851e+01,1.612479e+00,273.000000,4.563149e+01,1.332438,2.067809,4.294002
273.0,2.160000e+01,3.703030e+01,1.623393e+00,273.000000,4.546970e+01,1.334454,2.068449,4.294002
273.0,2.170000e+01,3.719319e+01,1.634398e+00,273.000000,4.530681e+01,1.336460,2.069121,4.294002
273.0,2.180000e+01,3.735717e+01,1.645502e+00,273.000000,4.514283e+01,1.338456,2.069823,4.294002
273.0,2.190000e+01,3.752228e+01,1.656714e+00,273.000000,4.497772e+01,1.340444,2.070557,4.294002
273.0,2.200000e+01,3.768851e+01,1.668043e+00,273.000000,4.481149e+01,1.342423,2.071323,4.294002
273.0,2.210000e+01,3.785588e+01,1.679496e+00,273.000000,4.464412e+01,1.344392,2.072120,4.294002
273.0,2.220000e+01,3.802440e+01,1.691082e+00,273.000000,4.447560e+01,1.346353,2.072949,4.294002
273.0,2.230000e+01,3.819409e+01,1.702808e+00,273.000000,4.430591e+01,1.348305,2.073811,4.294002
273.0,2.240000e+01,3.836496e+01,1.714682e+00,273.000000,4.413504e+01,1.350248,2.074704,4.294002
273.0,2.250000e+01,3.853702e+01,1.726712e+00,273.000000,4.396298e+01,1.352183,2.075629,4.294002
273.0,2.260000e+01,3.871029e+01,1.738904e+00,273.000000,4.378971e+01,1.354108,2.076586,4.294002
273.0,2.270000e+01,3.888479e+01,1.751266e+00,273.000000,4.361521e+01,1.356026,2.077575,4.294002
273.0,2.280000e+01,3.906054e+01,1.763803e+00,273.000000,4.343946e+01,1.357935,2.078596,4.294002
273.0,2.290000e+01,3.923755e+01,1.776523e+00,273.000000,4.326245e+01,1.359835,2.079650,4.294002
273.0,2.300000e+01,3.941584e+01,1.789432e+00,273.000000,4.308416e+01,1.361728,2.080735,4.294002
273.0,2.310000e+01,3.959543e+01,1.802534e+00,273.000000,4.290457e+01,1.363612,2.081852,4.294002
273.0,2.320000e+01,3.977634e+01,1.815836e+00,273.000000,4.272366e+01,1.365488,2.083002,4.294002
273.0,2.330000e+01,3.995859e+01,1.829344e+00,273.000000,4.254141e+01,1.367356,2.084183,4.294002
273.0,2.340000e+01,4.014220e+01,1.843062e+00,273.000000,4.235780e+01,1.369216,2.085397,4.294002
273.0,2.350000e+01,4.032719e+01,1.856996e+00,273.000000,4.217281e+01,1.371068,2.086642,4.294002
273.0,2.360000e+01,4.051359e+01,1.871149e+00,273.000000,4.198641e+01,1.372912,2.087921,4.294002
273.0,2.370000e+01,4.070142e+01,1.885528e+00,273.000000,4.179858e+01,1.374748,2.089231,4.294002
273.0,2.380000e+01,4.089069e+01,1.900135e+00,273.000000,4.160931e+01,1.376577,2.090574,4.294002
273.0,2.390000e+01,4.108144e+01,1.914976e+00,273.000000,4.141856e+01,1.378398,2.091950,4.294002
273.0,2.400000e+01,4.127368e+01,1.930054e+00,273.000000,4.122632e+01,1.380211,2.093359,4.294002
273.0,2.410000e+01,4.146744e+01,1.945374e+00,273.000000,4.103256e+01,1.382017,2.094801,4.294002
273.0,2.420000e+01,4.166275e+01,1.960939e+00,273.000000,4.083725e+01,1.383815,2.096276,4.294002
273.0,2.430000e+01,4.185962e+01,1.976753e+00,273.000000,4.064038e+01,1.385606,2.097786,4.294002
273.0,2.440000e+01,4.205809e+01,1.992820e+00,273.000000,4.044191e+01,1.387390,2.099330,4.294002
