1259 1259 2514
311 0.000189384 -4.08173e-05 -0.000131126
312 0.00017556 -7.0549e-05 -0.000127258
313 0.000156784 -9.65347e-05 -0.000124138
314 5.98526e-05 -6.24542e-05 -0.000112999
315 0.000134079 -0.000118004 -0.000121857
316 0.00018251 9.20181e-05 -0.000152054
317 0.000164337 0.000121536 -0.000152054
318 6.49338e-05 -5.71518e-05 -0.000112999
319 0.000181267 9.13925e-05 -0.000146255
320 0.000191925 5.87769e-05 -0.000140747
321 0.000196007 2.51007e-05 -0.000135666
322 0.000193565 -8.22449e-06 -0.000131126
323 6.95496e-05 -5.14374e-05 -0.000112999
324 0.000184959 -3.98636e-05 -0.000127258
325 0.000170837 -6.86493e-05 -0.000124138
326 0.000152092 -9.36508e-05 -0.000121857
327 7.36618e-05 -4.53568e-05 -0.000112999
328 0.000163216 0.000120712 -0.000146255
329 0.00017923 9.03625e-05 -0.000140747
330 0.00018895 5.78613e-05 -0.000135666
331 0.000192169 2.46048e-05 -0.000131126
332 7.724e-05 -3.89481e-05 -0.000112999
333 0.000189034 -8.03375e-06 -0.000127258
334 0.000179985 -3.87878e-05 -0.000124138
335 0.000165726 -6.6597e-05 -0.000121857
336 8.02612e-05 -3.22571e-05 -0.000112999
337 0.000140472 0.000146561 -0.000146255
338 0.000161385 0.000119354 -0.000140747
339 0.000176453 8.89587e-05 -0.000135666
340 0.000185242 5.67245e-05 -0.000131126
341 8.27103e-05 -2.53296e-05 -0.000112999
342 0.000187668 2.40326e-05 -0.000127258
343 0.000183952 -7.82013e-06 -0.000124138
344 0.000174599 -3.76282e-05 -0.000121857
345 8.45642e-05 -1.82266e-05 -0.000112999
346 0.000114456 0.000169342 -0.000152054
347 8.41904e-05 0.000186249 -0.000152054
348 0.000113678 0.00016819 -0.000146255
349 0.000138893 0.000144913 -0.000140747
350 8.58002e-05 -1.09863e-05 -0.000112999
351 0.000158875 0.0001175 -0.000135666
352 0.000172989 8.72192e-05 -0.000131126
353 0.000180908 5.5397e-05 -0.000127258
354 8.64258e-05 -3.66974e-06 -0.000112999
355 0.000182625 2.33841e-05 -0.000124138
356 0.000178452 -7.58362e-06 -0.000121857
357 8.36182e-05 0.000184982 -0.000146255
358 0.000112404 0.000166298 -0.000140747
359 8.64258e-05 3.66974e-06 -0.000112999
360 0.000136734 0.000142662 -0.000135666
361 0.000155762 0.000115196 -0.000131126
362 0.000168945 8.51746e-05 -0.000127258
363 8.58002e-05 1.09863e-05 -0.000112999
364 0.000176048 5.39093e-05 -0.000124138
365 0.000177162 2.26822e-05 -0.000121857
366 5.11551e-05 0.000196449 -0.000146255
367 8.26797e-05 0.000182899 -0.000140747
368 8.45642e-05 1.8219e-05 -0.000112999
369 0.000110657 0.000163719 -0.000135666
370 0.000134056 0.000139862 -0.000131126
371 0.000152115 0.000112503 -0.000127258
372 8.27942e-05 2.53525e-05 -0.000114098
373 0.000164406 8.28857e-05 -0.000124138
374 0.000170776 5.22995e-05 -0.000121857
375 1.7334e-05 0.000203659 -0.000152054
376 1.72195e-05 0.000202271 -0.000146255
377 8.02612e-05 3.22495e-05 -0.000112999
378 5.05829e-05 0.000194244 -0.000140747
379 8.1398e-05 0.000180061 -0.000135666
380 0.00010849 0.000160507 -0.000131126
381 7.724e-05 3.89404e-05 -0.000112999
382 0.00013092 0.000136589 -0.000127258
383 0.000148033 0.000109482 -0.000124138
384 0.000159485 8.04062e-05 -0.000121857
385 -1.7334e-05 0.000203659 -0.000152054
386 7.36618e-05 4.53491e-05 -0.000112999
